target_role,education_level,education_relevance,experience_years,experience_relevance,common_skill_coverage,skill_gap_count,project_count,project_quality_score,project_relevance_score,project_depth_score,project_diversity_score,github_activity_score,live_project_count,portfolio_completeness_score,portfolio_design_score,portfolio_content_score,portfolio_evidence_score,technical_evidence_score,soft_skill_evidence_score,github_available,deployment_available
Backend Developer,BE,50,2.8,88,62,4,4,81,59,76,57,0,0,74,66,58,48,85,38,,
Backend Developer,BSc,57,2.4,78,71,2,3,78,65,68,50,42,0,92,55,37,69,77,52,,
Backend Developer,MCA,75,2.1,91,90,1,4,70,72,63,60,71,0,99,50,37,59,94,46,,
Backend Developer,MBA,50,5.3,98,71,1,4,88,84,53,56,56,2,79,59,80,69,65,48,,
Backend Developer,BTech,82,2.2,77,100,0,1,67,74,54,54,0,1,46,81,62,31,93,42,,
Backend Developer,BE,67,1.5,53,93,2,2,62,71,42,63,41,1,54,59,72,68,72,28,,
Backend Developer,BTech,67,1.9,64,79,3,2,45,65,72,81,0,0,57,62,66,56,58,47,,
Backend Developer,BSc,59,4.1,95,73,3,3,66,96,73,54,65,1,90,59,61,65,85,73,,
Backend Developer,BTech,62,4.3,79,88,0,4,78,96,58,67,38,3,93,64,72,94,70,63,,
Backend Developer,BCA,85,3.5,75,81,3,4,70,91,45,54,57,0,69,44,58,81,99,47,,
Backend Developer,BSc,72,1.0,42,82,3,3,71,77,64,33,35,0,68,41,74,65,82,52,,
Backend Developer,BE,55,1.1,79,90,2,2,49,80,52,55,0,0,51,39,80,51,63,70,,
Backend Developer,BSc,87,3.9,91,90,2,5,61,81,66,55,42,0,75,59,65,66,92,55,,
Backend Developer,MTech,42,1.3,55,63,4,3,71,62,57,66,36,0,67,31,53,64,62,74,,
Backend Developer,MSc,86,3.6,59,69,1,2,70,69,35,46,69,1,98,74,55,82,74,59,,
Backend Developer,MTech,76,1.9,49,71,3,2,77,61,54,22,50,2,69,42,57,84,68,58,,
Backend Developer,BE,46,2.6,44,98,2,3,73,78,57,42,0,2,79,53,48,58,95,76,,
Backend Developer,BTech,71,1.0,66,74,2,4,74,79,45,68,0,1,82,65,75,68,70,85,,
Backend Developer,BE,68,4.2,56,80,2,2,65,86,59,27,64,0,55,79,59,69,100,52,,
Backend Developer,BCA,47,2.6,86,66,1,4,88,73,80,47,32,3,95,41,75,59,78,72,,
Backend Developer,BE,85,2.4,77,82,3,1,51,73,77,43,0,0,57,88,43,87,70,61,,
Backend Developer,BCA,59,3.8,77,78,1,3,78,83,53,41,47,2,74,55,55,79,60,33,,
Backend Developer,MCA,86,2.0,80,65,1,5,77,68,62,62,73,1,74,57,60,89,76,67,,
Backend Developer,MCA,86,2.0,84,76,2,5,78,76,63,73,83,0,76,24,64,85,79,65,,
Backend Developer,MCA,33,3.7,82,93,0,4,89,90,61,35,36,2,87,37,64,67,60,44,,
Backend Developer,MTech,82,1.4,58,85,3,2,64,100,55,51,60,1,60,73,58,89,82,59,,
Backend Developer,MSc,63,4.3,89,59,4,2,62,73,67,54,51,1,74,61,72,65,59,55,,
Backend Developer,BTech,60,3.5,83,86,1,5,63,81,53,66,0,2,70,52,76,74,70,74,,
Backend Developer,BE,73,2.1,59,73,3,5,74,94,35,48,88,3,90,71,90,77,70,52,,
Backend Developer,MSc,80,1.1,72,96,2,4,66,87,34,46,20,0,76,77,42,78,72,70,,
Backend Developer,MCA,52,0.6,51,93,1,2,64,78,46,42,53,0,85,47,52,48,88,45,,
Backend Developer,BTech,64,3.0,78,72,1,4,63,71,73,62,71,0,79,66,78,69,97,79,,
Backend Developer,BTech,80,0.9,57,77,3,1,35,77,67,36,0,0,37,46,61,53,72,51,,
Backend Developer,MBA,33,3.9,67,80,2,7,75,100,65,65,65,3,94,53,72,91,87,72,,
Backend Developer,BE,50,2.4,67,74,4,2,37,64,50,65,0,0,61,58,53,68,63,63,,
Backend Developer,MCA,60,4.8,79,81,2,3,73,63,76,47,29,0,68,55,59,71,85,53,,
Backend Developer,BTech,63,2.7,80,89,1,5,71,90,56,63,70,2,83,81,32,92,79,47,,
Backend Developer,BBA,62,4.3,77,74,0,4,62,87,46,52,48,3,67,51,75,57,78,62,,
Backend Developer,MCA,66,3.8,77,55,3,4,50,67,59,54,62,2,91,62,71,63,89,73,,
Backend Developer,MTech,38,2.3,60,81,2,2,83,89,49,36,0,1,74,19,54,51,74,61,,
Backend Developer,BSc,73,4.4,60,96,0,4,72,86,71,53,75,1,74,67,48,82,84,56,,
Backend Developer,BSc,61,2.7,71,92,1,2,83,73,49,35,0,0,66,47,41,57,74,71,,
Backend Developer,MCA,42,4.2,80,94,1,5,93,83,79,42,13,2,75,53,68,54,58,57,,
Backend Developer,BTech,75,2.4,70,89,0,4,71,70,50,62,48,0,76,52,61,89,81,59,,
Backend Developer,BE,35,1.8,71,70,2,1,62,92,37,49,0,1,63,60,44,57,76,69,,
Backend Developer,BTech,49,6.8,81,94,2,5,81,67,66,50,0,0,92,72,43,32,95,89,,
Backend Developer,BTech,74,1.8,72,80,1,3,54,69,60,58,81,0,85,85,39,48,80,41,,
Backend Developer,BTech,84,7.3,75,92,3,5,65,82,100,59,16,2,90,68,40,45,91,87,,
Backend Developer,BE,59,2.4,60,78,1,5,69,84,66,76,47,1,81,52,45,73,77,45,,
Backend Developer,BTech,49,1.6,78,95,0,2,55,85,71,44,0,0,47,44,57,39,83,51,,
Backend Developer,MTech,35,5.2,86,96,1,4,80,67,47,51,0,0,76,69,46,40,98,79,,
Backend Developer,BTech,82,2.9,59,82,2,3,53,87,56,87,56,0,77,66,45,72,80,51,,
Backend Developer,BCA,77,0.6,61,62,6,3,64,79,81,55,0,0,83,59,52,69,80,49,,
Backend Developer,MCA,66,2.9,53,67,3,3,72,74,31,56,0,3,78,85,50,63,81,50,,
Backend Developer,MTech,69,2.2,71,66,5,3,59,64,62,53,19,0,61,77,61,63,81,68,,
Business Analyst,BTech,85,1.3,61,99,2,4,54,65,72,50,27,1,62,42,71,55,79,38,,
Business Analyst,MBA,77,2.9,62,63,4,4,45,64,74,58,92,4,71,34,68,90,100,82,,
Business Analyst,BE,89,0.9,73,71,5,1,40,59,44,43,52,0,88,66,58,55,78,89,,
Business Analyst,Diploma,88,0.6,64,71,2,5,62,78,84,58,91,3,100,88,49,77,77,78,,
Business Analyst,BE,85,0.8,49,100,0,3,63,80,54,59,73,0,70,68,48,71,62,33,,
Business Analyst,MSc,57,4.0,48,75,3,7,81,70,60,63,100,3,89,45,66,100,85,82,,
Business Analyst,BE,48,1.1,48,100,1,3,66,100,41,65,36,0,91,39,65,78,90,69,,
Business Analyst,BTech,97,2.1,59,96,0,2,48,78,63,78,44,2,100,42,48,68,80,57,,
Business Analyst,BTech,79,1.9,87,49,4,5,58,76,38,94,0,4,68,30,54,37,83,61,,
Business Analyst,PhD,80,2.5,53,100,1,6,79,94,86,52,99,5,100,42,66,100,100,60,,
Business Analyst,BTech,86,2.3,83,100,0,0,53,100,8,67,48,0,72,45,67,80,100,43,,
Business Analyst,MTech,74,0.2,94,76,2,7,38,68,13,82,65,4,80,48,55,69,60,63,,
Business Analyst,BBA,76,1.9,70,100,0,2,48,60,71,66,0,0,82,66,10,49,94,66,,
Business Analyst,BSc,83,1.4,92,94,2,4,78,100,57,60,67,2,90,32,55,94,88,49,,
Business Analyst,BTech,54,0.9,94,28,7,5,56,59,54,61,0,0,59,55,94,62,57,52,,
Business Analyst,BTech,24,0.4,51,100,2,2,42,57,42,64,0,0,50,81,49,59,69,51,,
Business Analyst,BTech,68,1.4,55,89,1,4,15,88,82,67,28,3,100,67,60,45,95,55,,
Business Analyst,MSc,75,0.6,73,64,3,3,63,72,32,52,66,3,57,73,70,100,84,51,,
Business Analyst,BE,67,1.2,47,85,3,3,49,61,31,51,10,0,100,57,42,80,50,75,,
Business Analyst,BBA,85,1.7,72,85,0,3,58,100,30,65,70,2,97,83,29,100,62,35,,
Business Analyst,MCA,70,2.3,90,80,1,3,78,100,42,65,58,1,78,71,66,74,93,90,,
Business Analyst,BTech,76,1.5,34,89,2,3,69,68,38,58,0,0,46,34,43,57,54,49,,
Business Analyst,BE,51,1.8,69,92,0,3,78,100,51,29,48,3,96,41,37,73,100,72,,
Business Analyst,BTech,90,2.7,90,68,2,1,66,75,34,3,0,0,45,32,90,64,78,62,,
Business Analyst,PhD,74,1.3,82,78,3,5,56,71,72,64,47,1,82,63,75,58,58,72,,
Business Analyst,BTech,42,1.4,71,69,6,3,61,63,65,75,0,0,43,52,49,42,78,46,,
Business Analyst,BE,92,2.3,45,83,3,2,56,77,33,75,63,1,87,70,30,67,93,44,,
Business Analyst,BTech,90,0.5,95,100,2,4,58,83,55,74,64,0,91,0,21,68,62,82,,
Business Analyst,BSc,91,0.7,79,43,4,4,66,76,72,27,0,4,61,87,6,75,77,61,,
Business Analyst,BE,67,0.2,45,85,1,0,74,77,51,37,0,0,48,29,90,41,48,46,,
Business Analyst,BBA,80,1.0,48,99,2,5,83,98,61,43,0,1,61,88,47,95,75,83,,
Business Analyst,BE,38,0.1,78,83,5,3,66,57,57,67,0,1,60,63,70,43,72,44,,
Business Analyst,Diploma,80,7.6,100,100,0,5,85,100,46,48,80,4,100,39,77,83,100,36,,
Business Analyst,MSc,57,1.3,51,100,2,1,96,79,75,75,0,0,56,62,26,68,85,28,,
Business Analyst,BSc,47,4.6,86,82,2,2,68,55,57,60,0,0,43,49,32,43,84,76,,
Business Analyst,MCA,43,1.2,17,93,0,2,80,83,67,45,0,0,39,56,37,62,83,58,,
Business Analyst,MCA,85,3.6,89,73,1,5,74,78,64,44,100,3,100,34,62,98,100,38,,
Business Analyst,BE,24,1.7,36,92,2,3,55,72,48,74,0,0,55,56,88,43,79,3,,
Business Analyst,BE,90,1.2,47,88,2,2,60,85,50,67,0,2,70,71,48,50,100,35,,
Business Analyst,BTech,66,4.3,81,74,0,3,46,71,58,85,100,3,79,85,74,83,87,73,,
Business Analyst,BE,90,2.1,100,76,2,7,80,75,67,70,0,2,77,55,64,53,97,50,,
Business Analyst,BE,71,2.6,80,85,0,0,49,83,51,64,54,0,67,93,36,59,100,79,,
Business Analyst,BE,60,2.0,37,76,2,2,52,100,59,38,0,0,57,25,73,28,65,52,,
Business Analyst,MSc,27,1.9,45,97,0,3,65,100,34,56,0,2,63,67,36,64,73,61,,
Business Analyst,MBA,14,0.0,36,100,3,6,48,90,54,30,64,2,97,65,33,81,93,62,,
Business Analyst,BSc,84,4.9,83,100,0,0,65,74,8,72,47,0,69,75,54,100,100,39,,
Business Analyst,BBA,24,0.8,69,100,2,4,71,95,41,55,0,0,79,43,46,36,67,66,,
Business Analyst,BBA,17,1.3,87,72,2,2,46,67,53,99,37,2,58,48,73,60,100,30,,
Business Analyst,BCA,75,6.5,100,100,0,3,100,89,43,68,85,0,58,51,37,98,100,48,,
Business Analyst,BSc,84,0.5,66,50,5,4,66,65,54,60,0,0,75,79,33,35,88,11,,
Business Analyst,MBA,60,8.2,100,100,1,6,81,78,81,74,88,4,100,66,67,75,87,20,,
Business Analyst,BE,21,4.8,63,100,0,4,65,55,72,74,77,2,83,70,41,69,97,92,,
Business Analyst,BTech,27,1.0,58,36,6,3,76,64,48,74,79,0,69,39,62,72,88,42,,
Business Analyst,BTech,39,0.9,77,80,3,1,58,48,66,52,0,1,32,56,57,53,94,28,,
Business Analyst,MCA,67,1.2,100,91,0,5,86,85,79,63,48,0,74,26,37,81,77,73,,
Business Analyst,BE,79,0.2,55,91,1,6,77,87,57,51,0,0,55,87,64,46,86,42,,
Business Analyst,BE,85,1.1,74,89,1,0,57,100,48,27,0,0,58,53,70,50,53,56,,
Business Analyst,BE,40,5.3,72,87,0,3,58,91,46,67,0,0,82,89,68,40,82,47,,
Business Analyst,MTech,96,1.1,77,84,2,3,71,68,60,58,80,0,94,64,63,100,97,18,,
Business Analyst,BE,41,0.8,45,99,0,2,66,100,69,58,0,0,68,61,80,58,80,39,,
Business Analyst,BTech,22,0.6,86,100,0,4,62,81,54,54,78,4,68,72,31,74,100,66,,
Business Analyst,MBA,27,6.2,50,77,0,6,70,90,71,88,51,2,85,91,48,51,73,55,,
Business Analyst,MSc,74,1.4,50,69,3,6,72,65,83,56,78,4,100,13,100,55,85,50,,
Business Analyst,MTech,63,1.0,59,69,1,5,73,82,47,84,42,0,100,27,73,44,77,66,,
Business Analyst,BCA,75,0.9,50,98,0,3,89,87,44,43,0,2,85,57,71,41,69,54,,
Business Analyst,BTech,40,2.8,60,66,0,5,73,78,49,36,94,5,57,59,60,82,85,37,,
Business Analyst,MTech,65,4.4,60,100,1,6,100,91,84,69,79,4,69,76,34,91,94,31,,
Business Analyst,BTech,49,4.2,83,72,2,2,79,52,39,46,17,2,77,51,49,99,85,45,,
Business Analyst,BTech,78,3.8,87,85,2,7,79,56,67,48,62,4,100,66,74,100,68,57,,
Business Analyst,MTech,89,2.0,73,100,2,1,30,100,35,53,0,1,68,80,50,77,83,36,,
Business Analyst,MSc,20,10.7,99,98,1,5,86,93,100,49,100,4,89,55,72,76,100,65,,
Business Analyst,MCA,38,1.4,75,71,4,1,69,67,54,13,0,0,60,68,16,43,90,25,,
Business Analyst,BTech,45,1.3,70,92,0,1,63,64,78,40,42,0,82,35,61,81,96,44,,
Business Analyst,BTech,95,1.1,60,82,3,2,77,95,7,36,0,0,50,58,51,69,70,59,,
Business Analyst,BE,55,0.5,54,82,2,6,81,68,54,47,17,4,71,74,66,65,80,74,,
Business Analyst,BSc,56,1.7,60,93,2,3,75,86,40,75,0,2,69,57,45,75,100,74,,
Business Analyst,MTech,77,3.3,91,95,1,4,58,76,88,95,45,3,100,99,41,60,99,58,,
Business Analyst,MCA,72,1.0,60,65,3,4,78,84,52,92,74,0,74,52,78,100,80,39,,
Business Analyst,MCA,86,0.7,47,48,7,4,67,66,49,66,100,0,76,28,90,100,92,66,,
Business Analyst,MTech,93,0.7,64,75,4,2,88,43,61,33,35,0,86,64,61,81,98,76,,
Business Analyst,Diploma,90,2.9,67,100,0,5,100,74,61,38,90,0,90,69,69,63,67,20,,
Business Analyst,BE,64,9.7,89,98,0,4,91,90,93,64,86,3,100,55,60,93,97,84,,
Business Analyst,BE,58,1.6,84,58,8,2,82,75,41,58,53,2,59,51,67,64,73,42,,
Business Analyst,BE,37,2.5,87,74,1,1,36,35,54,86,0,0,43,100,58,65,82,44,,
Business Analyst,MCA,59,3.6,93,92,2,3,44,48,94,57,79,1,100,53,46,67,89,63,,
Business Analyst,BE,62,3.7,78,100,1,5,69,88,36,67,31,3,100,46,47,93,98,95,,
Business Analyst,BE,80,0.3,62,77,2,2,55,71,71,47,0,0,69,53,56,58,76,55,,
Business Analyst,BCA,35,0.1,28,75,3,2,63,68,37,59,0,0,60,62,81,74,79,33,,
Business Analyst,MSc,94,3.0,68,91,0,4,87,42,55,9,46,2,95,24,32,100,93,66,,
Business Analyst,BE,82,0.4,39,63,3,0,65,79,48,78,44,0,58,56,45,60,71,22,,
Business Analyst,BSc,72,2.5,87,93,0,1,51,56,60,31,62,0,39,65,48,59,100,52,,
Business Analyst,MCA,61,0.3,65,84,0,3,61,81,39,53,83,0,58,66,73,75,96,39,,
Business Analyst,BTech,36,0.8,68,77,2,7,72,79,100,100,36,1,92,47,94,95,51,66,,
Business Analyst,BE,18,1.3,53,89,0,2,44,100,61,56,0,2,52,21,71,55,69,63,,
Business Analyst,BTech,46,1.8,59,100,1,2,54,83,51,45,34,1,70,63,44,72,82,44,,
Business Analyst,BE,83,3.5,55,100,3,5,48,98,77,52,38,4,74,67,99,46,69,61,,
Business Analyst,MCA,85,2.8,56,100,0,4,60,94,62,54,41,0,100,21,30,77,63,82,,
Business Analyst,PhD,43,5.8,55,99,1,3,55,64,64,91,59,0,82,68,41,50,100,19,,
Business Analyst,MSc,51,5.0,58,99,3,2,66,96,77,54,97,0,46,72,54,66,100,49,,
Business Analyst,BE,65,3.3,77,89,3,7,93,65,87,52,48,1,100,54,66,83,87,47,,
Business Analyst,BBA,16,0.6,64,100,0,1,47,96,96,57,72,0,63,14,40,100,98,30,,
Business Analyst,BE,31,1.7,50,81,5,7,69,67,47,94,90,0,100,51,50,67,74,47,,
Business Analyst,BSc,25,1.2,72,54,7,0,29,80,32,49,0,0,67,50,28,83,70,17,,
Business Analyst,BCA,47,3.8,94,75,4,5,84,89,72,60,0,0,59,57,94,80,87,54,,
Business Analyst,BTech,90,5.5,75,100,1,4,80,79,59,59,65,2,78,39,65,91,100,84,,
Business Analyst,BTech,84,3.3,58,61,5,3,54,42,47,47,61,0,61,39,25,40,70,61,,
Business Analyst,BTech,67,0.5,100,87,2,1,43,83,11,12,0,0,46,58,69,46,57,26,,
Business Analyst,BTech,77,1.8,65,56,0,1,49,74,50,63,100,0,41,33,38,90,96,71,,
Business Analyst,BTech,24,3.2,76,55,2,5,75,77,60,91,62,4,87,25,51,64,76,68,,
Business Analyst,BE,43,5.0,53,48,6,4,87,66,65,74,48,2,65,58,29,71,100,46,,
Business Analyst,BSc,80,2.6,79,100,1,3,61,100,23,30,43,0,93,78,40,87,53,46,,
Business Analyst,PhD,48,1.1,63,100,3,3,74,66,36,72,0,3,53,62,58,62,66,67,,
Business Analyst,MSc,91,3.8,66,88,0,6,79,84,84,96,61,3,80,70,49,85,100,68,,
Business Analyst,MTech,90,4.1,84,76,0,3,71,78,50,58,91,3,83,63,63,100,99,33,,
Business Analyst,BE,71,0.3,72,44,3,5,66,63,51,74,53,1,77,75,65,79,98,64,,
Business Analyst,MBA,91,4.5,65,86,1,4,75,95,57,93,59,4,100,48,28,68,95,73,,
Business Analyst,BTech,66,1.0,60,40,7,1,76,69,35,27,0,0,62,76,53,46,63,66,,
Business Analyst,BTech,25,1.8,83,71,3,6,63,92,77,84,85,0,67,79,73,53,100,42,,
Business Analyst,Diploma,93,0.8,40,81,2,3,71,67,64,40,36,1,92,46,0,58,100,70,,
Business Analyst,BTech,37,1.9,46,79,0,4,70,87,84,57,0,0,77,55,45,56,92,53,,
Business Analyst,BBA,72,4.4,100,100,0,4,81,96,70,82,69,3,100,64,80,38,85,25,,
Business Analyst,BTech,65,0.3,71,71,2,1,47,67,35,48,0,0,70,71,22,47,60,37,,
Business Analyst,BSc,64,0.1,87,68,7,7,47,65,46,51,58,6,100,39,58,29,64,66,,
Business Analyst,BSc,82,1.9,63,88,0,2,45,89,57,64,61,0,49,50,50,83,100,74,,
Business Analyst,BTech,54,0.4,57,100,2,2,50,100,44,60,55,0,85,28,69,100,80,58,,
Business Analyst,MSc,23,1.3,44,43,4,1,31,58,71,54,60,0,63,47,48,86,73,59,,
Business Analyst,Diploma,34,0.7,63,86,2,1,65,81,65,70,0,1,30,79,63,65,100,28,,
Business Analyst,BTech,62,1.3,74,59,4,1,44,85,51,43,0,0,58,89,49,53,87,48,,
Business Analyst,MSc,43,2.0,51,100,0,3,62,100,34,78,0,2,61,70,25,71,81,36,,
Business Analyst,BE,80,1.4,82,73,1,4,54,57,45,48,28,2,90,22,83,68,54,60,,
Business Analyst,BTech,47,7.9,100,66,1,7,100,76,74,64,89,1,100,40,83,100,100,81,,
Business Analyst,BE,54,4.2,69,65,2,3,100,82,17,58,68,2,50,57,68,100,68,44,,
Business Analyst,MTech,80,1.7,53,53,3,5,77,100,59,90,47,4,97,80,45,76,81,66,,
Business Analyst,MCA,94,0.7,67,44,4,2,51,63,39,47,22,2,100,82,76,65,46,83,,
Business Analyst,MCA,72,1.8,65,100,1,1,49,72,77,60,33,0,59,55,31,90,79,64,,
Business Analyst,MBA,76,1.9,82,62,2,6,63,58,94,70,0,0,81,54,29,61,46,58,,
Business Analyst,MBA,58,0.3,53,100,2,3,57,96,52,52,0,0,73,56,48,58,87,48,,
Business Analyst,BTech,37,0.3,42,90,1,1,58,89,75,53,37,1,80,77,51,76,89,49,,
Business Analyst,MCA,88,1.0,77,80,0,1,43,33,22,61,0,0,31,32,29,59,55,60,,
Business Analyst,BBA,87,1.2,97,100,0,6,75,81,57,60,47,1,91,62,71,62,87,51,,
Business Analyst,BE,79,2.8,92,82,3,3,68,62,41,69,82,1,84,59,82,96,85,45,,
Business Analyst,MCA,83,1.3,79,70,4,6,92,68,50,56,72,0,77,88,48,63,91,45,,
Business Analyst,BE,91,2.4,74,41,6,6,79,64,50,48,100,3,79,62,72,100,67,64,,
Business Analyst,BE,73,1.4,58,78,3,3,72,96,46,72,28,2,80,77,30,71,87,6,,
Business Analyst,PhD,80,2.0,44,87,1,1,31,68,36,48,37,0,78,100,67,76,77,77,,
Business Analyst,MCA,75,0.8,51,92,0,5,67,70,76,49,0,0,66,47,68,70,82,61,,
Business Analyst,BTech,66,2.6,75,98,1,5,42,100,54,61,0,2,84,55,47,41,74,48,,
Business Analyst,Diploma,22,2.6,91,75,3,1,26,65,79,52,24,1,76,61,41,70,79,36,,
Business Analyst,BTech,64,2.6,86,71,0,1,36,100,23,62,65,0,49,87,90,66,90,56,,
Business Analyst,MTech,66,0.1,82,97,3,2,13,89,34,77,0,2,45,56,63,45,68,46,,
Business Analyst,MSc,76,1.1,43,93,1,2,58,82,51,53,89,0,65,65,69,99,74,59,,
Business Analyst,BTech,44,2.5,62,76,1,3,62,94,54,76,59,3,99,79,61,50,86,67,,
Business Analyst,MTech,85,3.9,57,100,2,2,31,100,76,60,71,0,57,53,43,86,79,60,,
Business Analyst,BE,84,3.2,64,76,1,5,81,70,82,53,92,0,100,48,63,83,72,69,,
Business Analyst,BTech,86,1.0,79,60,3,1,68,71,7,39,0,0,82,28,60,45,58,60,,
Business Analyst,BCA,85,1.0,96,89,0,1,64,70,44,49,0,0,67,64,42,78,68,36,,
Business Analyst,BSc,11,3.6,70,84,6,0,55,94,47,57,60,0,45,35,39,73,67,29,,
Business Analyst,MBA,70,2.6,78,51,4,4,60,80,44,56,83,1,100,18,92,100,80,65,,
Business Analyst,BCA,27,1.9,99,81,4,4,66,50,74,69,67,0,72,33,67,75,83,52,,
Business Analyst,BTech,30,1.2,98,100,0,5,93,56,34,100,68,2,100,22,62,76,48,53,,
Business Analyst,BE,89,2.6,70,71,3,3,25,60,53,70,49,0,68,61,57,68,86,53,,
Business Analyst,BE,58,3.1,92,81,3,5,67,92,72,93,0,3,71,66,64,34,92,36,,
Business Analyst,BE,18,2.2,60,84,2,3,39,89,39,61,100,1,100,42,30,100,71,51,,
Business Analyst,BE,74,2.7,67,81,3,0,76,70,55,55,0,0,28,61,54,42,58,43,,
Business Analyst,BSc,88,0.8,49,96,3,4,78,87,67,70,28,2,96,23,68,75,75,81,,
Business Analyst,BCA,80,3.0,64,75,3,1,66,88,33,40,80,0,82,53,44,65,90,37,,
Business Analyst,MBA,70,2.5,65,92,0,2,50,92,60,52,45,2,95,63,35,84,78,43,,
Business Analyst,BE,78,2.8,100,75,5,1,50,64,39,59,57,1,59,78,27,44,95,70,,
Business Analyst,MCA,44,4.9,100,62,3,5,56,63,79,30,78,4,100,46,72,66,88,99,,
Business Analyst,BTech,32,2.6,84,64,1,4,71,71,47,46,73,4,78,53,59,53,86,50,,
Business Analyst,BTech,82,1.2,65,73,3,7,85,57,77,79,55,1,86,59,47,89,100,77,,
Business Analyst,BE,44,1.0,97,87,1,2,61,80,41,70,23,0,60,60,24,54,50,41,,
Business Analyst,BE,37,0.2,61,100,0,3,62,71,28,69,83,0,93,51,30,67,81,44,,
Business Analyst,BCA,96,1.4,45,100,1,3,88,90,45,59,0,3,71,69,47,53,75,25,,
Business Analyst,BTech,94,0.8,100,100,0,3,24,99,33,44,0,2,51,54,36,61,87,83,,
Business Analyst,BE,96,2.8,76,69,5,0,40,64,50,75,40,0,57,42,66,68,51,39,,
Business Analyst,BTech,97,1.6,92,99,2,5,61,72,95,37,97,4,100,72,47,98,100,36,,
Business Analyst,BE,94,0.4,76,59,3,5,41,74,22,28,73,2,96,100,48,61,55,70,,
Business Analyst,MCA,79,1.7,84,52,4,4,67,100,81,43,56,1,100,43,41,63,67,55,,
Business Analyst,BTech,87,3.2,56,100,0,5,67,74,67,67,12,4,100,46,56,70,61,63,,
Business Analyst,BTech,83,1.1,57,100,2,5,53,83,61,60,0,1,84,58,58,49,84,91,,
Business Analyst,BCA,22,2.0,81,72,0,2,80,86,48,31,53,0,63,77,37,55,55,30,,
Business Analyst,PhD,58,0.0,64,59,4,3,61,71,66,41,20,0,63,54,37,67,72,15,,
Business Analyst,BCA,60,0.9,58,72,3,5,84,79,75,43,41,0,87,64,66,83,81,38,,
Business Analyst,MSc,77,4.5,89,100,0,7,75,93,59,51,100,7,76,74,2,99,98,32,,
Business Analyst,BE,28,1.4,62,78,3,4,69,90,96,59,49,4,79,68,59,54,100,40,,
Business Analyst,MCA,67,1.1,73,63,4,5,38,44,74,93,0,2,54,57,89,40,39,63,,
Business Analyst,MBA,73,1.5,76,94,0,0,53,100,74,41,0,0,32,77,86,56,68,66,,
Business Analyst,BSc,61,4.3,71,98,4,6,66,60,57,60,70,5,89,34,45,62,94,98,,
Business Analyst,BTech,42,4.3,97,100,1,3,72,100,35,27,55,0,89,53,54,75,90,69,,
Business Analyst,MCA,44,0.8,51,100,0,1,50,72,26,29,0,0,39,74,60,31,58,63,,
Business Analyst,MSc,20,5.4,61,100,0,2,53,57,47,86,100,0,85,34,60,90,83,79,,
Business Analyst,BTech,48,1.5,52,92,2,3,69,85,56,59,43,0,98,37,49,77,60,80,,
Business Analyst,BTech,87,0.9,63,62,4,4,69,83,80,54,93,0,90,47,62,100,100,23,,
Business Analyst,MSc,20,1.4,67,73,1,2,53,55,58,17,62,1,85,57,55,60,82,52,,
Business Analyst,BE,87,0.6,66,100,2,3,77,84,47,100,22,1,84,60,72,44,86,38,,
Business Analyst,MBA,56,4.9,58,97,2,4,100,100,50,73,0,4,51,64,43,80,90,84,,
Business Analyst,BCA,96,6.4,89,98,0,4,65,100,63,87,0,0,64,65,69,52,71,58,,
Business Analyst,BE,66,0.8,52,83,0,2,53,67,47,65,0,0,63,54,37,51,63,55,,
Business Analyst,BTech,89,8.9,77,100,2,3,73,88,60,68,100,1,95,48,69,80,93,83,,
Business Analyst,BTech,90,3.4,78,87,1,2,65,65,60,23,64,2,96,91,21,53,80,66,,
Business Analyst,MSc,88,0.7,73,100,0,3,57,81,42,77,0,1,75,42,60,80,67,60,,
Business Analyst,BE,65,1.6,52,48,5,5,83,61,48,100,77,4,100,44,62,84,76,52,,
Business Analyst,BTech,64,0.9,62,94,1,4,87,66,49,47,0,0,53,55,43,80,65,54,,
Business Analyst,MBA,69,1.7,73,80,5,4,79,84,59,41,58,1,76,72,53,78,56,64,,
Business Analyst,BTech,91,1.6,68,43,6,3,81,82,27,36,0,2,64,43,43,60,62,73,,
Business Analyst,MCA,61,0.1,81,100,1,3,87,84,40,31,86,3,100,63,73,91,83,56,,
Business Analyst,MSc,33,0.0,59,64,4,1,43,89,57,64,53,1,87,60,46,88,58,49,,
Business Analyst,MSc,90,1.7,44,75,0,1,89,100,54,35,35,0,85,34,10,71,78,60,,
Business Analyst,BSc,94,1.7,83,72,2,4,55,68,46,64,53,0,67,46,60,66,52,64,,
Business Analyst,BBA,41,2.0,29,100,0,0,84,100,51,41,38,0,52,79,64,62,88,67,,
Business Analyst,BTech,60,1.3,61,78,2,4,53,73,0,80,100,3,84,52,59,98,77,84,,
Business Analyst,BE,60,2.4,79,100,0,3,39,97,46,47,100,0,100,58,35,88,100,70,,
Business Analyst,BE,75,0.7,64,80,4,1,27,64,64,61,70,0,53,65,59,54,59,64,,
Business Analyst,BCA,40,1.4,64,63,3,4,64,100,43,69,0,3,48,65,73,54,76,43,,
Business Analyst,MCA,63,1.6,54,83,0,6,92,71,78,100,0,3,62,86,84,72,66,57,,
Business Analyst,BE,83,2.8,69,89,2,3,42,81,62,53,52,1,72,39,61,77,68,60,,
